SampleID,Gender,Age-range,Region,Area
S317,Female,35-39,CASTILLA.LEON,Rest
S318,Female,25-29,CATALONIA,Mediterranean
S319,Female,55-59,CATALONIA,Mediterranean
S320,Male,55-59,NAVARRA,Rest
S321,Female,40-44,CATALONIA,Mediterranean
S322,Female,50-54,VALENCIANA,Mediterranean
S323,Female,35-39,VALENCIANA,Mediterranean
S324,Female,35-39,CATALONIA,Mediterranean
S325,Male,30-34,CANARIAS,Island
S326,Female,55-59,CANARIAS,Island
S327,Male,35-39,MADRID,Rest
S328,Female,40-44,CASTILLA.LEON,Rest
S329,Female,18-24,GALICIA,Rest
S330,Female,40-44,ANDALUCIA,Mediterranean
S331,Female,45-49,CATALONIA,Mediterranean
S332,Female,35-39,CATALONIA,Mediterranean
S333,Female,35-39,MADRID,Rest
S334,Female,35-39,CATALONIA,Mediterranean
S335,Female,45-49,BASQUE,Rest
S336,Female,25-29,CATALONIA,Mediterranean
S337,Male,45-49,NAVARRA,Rest
S338,Female,55-59,ANDALUCIA,Mediterranean
S339,Female,50-54,CATALONIA,Mediterranean
S340,Female,55-59,MADRID,Rest
S341,Male,60-64,MADRID,Rest
S342,Male,25-29,GALICIA,Rest
S343,Male,35-39,ANDALUCIA,Mediterranean
S344,Male,40-44,MURCIA,Mediterranean
S345,Female,60-64,BASQUE,Rest
S346,Female,40-44,BALEARES,Island
S347,Female,25-29,ANDALUCIA,Mediterranean
S348,Female,40-44,VALENCIANA,Mediterranean
S349,Female,40-44,VALENCIANA,Mediterranean
S350,Male,30-34,CATALONIA,Mediterranean
S351,Male,45-49,CASTILLA.LEON,Rest
S352,Male,50-54,CATALONIA,Mediterranean
S353,Male,60-64,MADRID,Rest
S354,Male,45-49,BALEARES,Island
S355,Female,45-49,RIOJA,Rest
S356,Female,45-49,VALENCIANA,Mediterranean
S357,Female,30-34,MADRID,Rest
S358,Female,18-24,MADRID,Rest
S359,Female,45-49,CATALONIA,Mediterranean
S360,Female,40-44,ARAGON,Rest
S361,Female,60-64,MADRID,Rest
S362,Female,45-49,RIOJA,Rest
S363,Female,50-54,VALENCIANA,Mediterranean
S364,Female,55-59,MADRID,Rest
S365,Female,30-34,VALENCIANA,Mediterranean
S366,Female,45-49,GALICIA,Rest
S367,Female,35-39,CANARIAS,Island
S368,Male,30-34,CASTILLA.LEON,Rest
S369,Female,50-54,MADRID,Rest
S370,Male,30-34,VALENCIANA,Mediterranean
S371,Female,45-49,CANTABRIA,Rest
S372,Female,50-54,MADRID,Rest
S373,Female,40-44,NAVARRA,Rest
S374,Male,65-70,MADRID,Rest
S375,Female,30-34,MADRID,Rest
S376,Female,25-29,MADRID,Rest
S377,Male,40-44,MADRID,Rest
S378,Male,35-39,ANDALUCIA,Mediterranean
S379,Female,40-44,CASTILLA.LEON,Rest
S380,Female,18-24,MADRID,Rest
S381,Male,55-59,BASQUE,Rest
S382,Female,60-64,MURCIA,Mediterranean
S383,Male,30-34,MADRID,Rest
S384,Male,55-59,MADRID,Rest
S385,Male,40-44,BASQUE,Rest
S386,Female,50-54,MADRID,Rest
S387,Female,30-34,MADRID,Rest
S388,Female,25-29,MADRID,Rest
S389,Female,45-49,CANTABRIA,Rest
S390,Male,40-44,ANDALUCIA,Mediterranean
S391,Female,25-29,MADRID,Rest
S392,Male,60-64,MADRID,Rest
S393,Female,40-44,ANDALUCIA,Mediterranean
S394,Male,50-54,MADRID,Rest
S395,Male,60-64,CASTILLA.LEON,Rest
S396,Female,40-44,ANDALUCIA,Mediterranean
S397,Female,30-34,BASQUE,Rest
S398,Female,35-39,NAVARRA,Rest
S399,Male,55-59,MADRID,Rest
S400,Female,25-29,MADRID,Rest
S401,Male,35-39,MADRID,Rest
S402,Female,50-54,ARAGON,Rest
S403,Female,18-24,CATALONIA,Mediterranean
S404,Male,50-54,MADRID,Rest
S405,Female,30-34,MADRID,Rest
S406,Male,30-34,MADRID,Rest
S407,Female,65-70,LAMANCHA,Rest
S408,Female,18-24,CATALONIA,Mediterranean
S409,Male,50-54,NAVARRA,Rest
S410,Female,30-34,ANDALUCIA,Mediterranean
S411,Male,55-59,MADRID,Rest
S412,Male,30-34,MADRID,Rest
S413,Female,50-54,MADRID,Rest
S414,Female,45-49,CATALONIA,Mediterranean
S415,Male,40-44,MADRID,Rest
S416,Male,55-59,BASQUE,Rest
S417,Male,50-54,CATALONIA,Mediterranean
S418,Female,30-34,CASTILLA.LEON,Rest
S419,Female,60-64,CANARIAS,Island
S420,Male,40-44,MADRID,Rest
S421,Female,60-64,CANARIAS,Island
S422,Female,35-39,CANARIAS,Island
S423,Male,30-34,CANARIAS,Island
